site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
893,13.33,-87.221,1,0,0,0,0
900,13.332,-87.229,1,0,0,0,0
901,13.332,-87.232,1,0,0,0,0
902,13.332,-87.231,1,0,0,0,0
906,13.335,-87.233,1,0,0,0,0
907,13.325,-87.218,1,0,0,0,0
909,13.326,-87.219,1,0,0,0,0
913,13.328,-87.21,1,0,0,0,0
923,13.338,-87.206,1,0,0,0,0
925,13.331,-87.19,1,0,0,0,0
938,13.338,-87.196,1,0,0,0,0
940,13.339,-87.195,1,0,0,0,0
944,13.325,-87.185,1,0,0,0,0
945,13.326,-87.187,1,0,0,0,0
946,13.326,-87.187,1,0,0,0,0
947,13.326,-87.187,1,0,0,0,0
948,13.326,-87.187,1,0,0,0,0
949,13.326,-87.187,1,0,0,0,0
950,13.326,-87.187,1,0,0,0,0
951,13.326,-87.187,1,0,0,0,0
953,13.327,-87.187,1,0,0,0,0
955,13.328,-87.186,1,0,0,0,0
960,13.335,-87.182,1,0,0,0,0
962,13.335,-87.187,1,0,0,0,0
970,13.329,-87.175,1,0,0,0,0
974,13.33,-87.164,1,0,0,0,0
980,13.335,-87.164,1,0,0,0,0
981,13.336,-87.165,1,0,0,0,0
991,13.339,-87.168,1,0,0,0,0
992,13.34,-87.168,1,0,0,0,0
995,13.326,-87.146,1,0,0,0,0
1006,13.326,-87.141,1,0,0,0,0
1013,13.327,-87.138,1,0,0,0,0
1020,13.331,-87.14,1,0,0,0,0
1029,13.333,-87.133,1,0,0,0,0
1037,13.334,-87.136,1,0,0,0,0
1038,13.334,-87.136,1,0,0,0,0
1039,13.334,-87.136,1,0,0,0,0
1040,13.334,-87.136,1,0,0,0,0
1041,13.334,-87.136,1,0,0,0,0
1042,13.334,-87.136,1,0,0,0,0
1043,13.334,-87.136,1,0,0,0,0
1049,13.336,-87.132,1,0,0,0,0
1050,13.336,-87.132,1,0,0,0,0
1053,13.337,-87.125,1,0,0,0,0
1055,13.338,-87.129,1,0,0,0,0
1056,13.338,-87.129,1,0,0,0,0
1059,13.327,-86.944,1,0,0,0,0
1060,13.339,-86.933,1,0,0,0,0
1064,13.688,-87.361,1,0,1,0,3
1065,13.685,-87.351,1,0,0,0,0
1066,13.686,-87.35,1,0,0,0,0
1067,13.686,-87.345,1,0,0,0,0
1071,13.688,-87.34,1,0,0,0,0
1073,13.692,-87.338,1,0,0,0,0
1074,13.695,-87.325,1,0,0,0,0
1075,13.698,-87.33,1,0,0,0,0
1077,13.704,-87.334,1,0,0,0,0
1078,13.706,-87.334,1,0,0,0,0
1079,13.701,-87.32,1,0,0,0,0
1084,13.705,-87.316,1,0,0,0,0
1087,13.707,-87.322,1,0,0,0,0
1091,13.708,-87.324,1,0,0,0,0
1092,13.703,-86.832,1,0,1,0,2
1095,13.716,-87.319,1,0,0,0,0
1098,13.722,-87.32,1,0,0,0,0
1099,13.723,-87.319,1,0,0,0,0
1100,13.723,-87.32,1,0,0,0,0
1101,13.73,-87.322,1,0,0,0,0
1102,13.721,-86.883,1,0,0,0,0
1104,13.732,-87.327,1,0,0,0,0
1105,13.743,-87.325,1,0,0,0,0
1106,13.733,-87.323,1,0,0,0,0
1112,13.737,-87.325,1,0,0,0,0
1117,13.74,-87.316,1,0,0,0,0
1118,13.743,-87.321,1,0,0,0,0
1123,13.753,-87.323,1,0,0,0,0
1124,13.754,-87.322,1,0,0,0,0
1125,13.754,-87.322,1,0,0,0,0
1126,13.754,-87.321,1,0,0,0,0
1127,13.757,-87.317,1,0,0,0,0
1128,13.758,-87.317,1,0,0,0,0
